metric,variant,count,mean,median,min,max,std,p95
workload_duration_sec,baseline,30,57.200000,53.500000,47.000000,91.000000,10.505828,78.300000
workload_duration_sec,composite,30,55.900000,54.000000,47.000000,81.000000,8.651689,71.050000
workload_duration_sec,reusable,30,54.100000,53.000000,47.000000,82.000000,7.378206,67.800000
end_to_end_duration_sec,baseline,30,69.500000,65.000000,56.000000,102.000000,10.804692,89.400000
end_to_end_duration_sec,composite,30,71.100000,66.500000,56.000000,97.000000,12.206132,93.000000
end_to_end_duration_sec,reusable,30,406.833333,65.000000,56.000000,10250.000000,1859.101917,94.300000
queue_delay_sec,baseline,30,4.233333,3.500000,2.000000,16.000000,2.932380,9.850000
queue_delay_sec,composite,30,5.033333,4.000000,3.000000,29.000000,4.992984,10.850000
queue_delay_sec,reusable,30,343.300000,4.000000,3.000000,10159.000000,1853.892199,14.650000
backend_job_duration_sec,baseline,30,56.566667,53.000000,47.000000,91.000000,10.487047,78.300000
backend_job_duration_sec,composite,30,54.966667,52.500000,47.000000,81.000000,8.405595,71.050000
backend_job_duration_sec,reusable,30,52.700000,53.000000,46.000000,74.000000,5.213709,57.650000
frontend_job_duration_sec,baseline,30,31.633333,32.000000,25.000000,39.000000,3.337182,36.000000
frontend_job_duration_sec,composite,30,30.566667,30.000000,26.000000,36.000000,2.299675,34.000000
frontend_job_duration_sec,reusable,30,32.833333,34.000000,26.000000,38.000000,3.108202,36.550000
workload_runner_time_sec,baseline,30,88.200000,85.500000,76.000000,120.000000,10.148552,106.000000
workload_runner_time_sec,composite,30,85.533333,83.500000,73.000000,113.000000,9.141543,103.400000
workload_runner_time_sec,reusable,30,85.533333,85.500000,77.000000,106.000000,5.587753,91.550000
total_runner_time_sec,baseline,30,92.600000,89.500000,80.000000,125.000000,10.101553,110.100000
total_runner_time_sec,composite,30,90.100000,88.000000,77.000000,118.000000,9.189011,107.400000
total_runner_time_sec,reusable,30,90.700000,89.500000,81.000000,110.000000,6.029525,101.500000
backend_install_sec,baseline,30,3.500000,4.000000,2.000000,5.000000,0.731083,4.000000
backend_install_sec,composite,30,2.866667,3.000000,1.000000,5.000000,0.860366,4.000000
backend_install_sec,reusable,30,3.366667,3.000000,2.000000,4.000000,0.668675,4.000000
backend_test_sec,baseline,30,23.600000,23.000000,21.000000,36.000000,3.091702,29.100000
backend_test_sec,composite,30,23.300000,23.000000,17.000000,42.000000,5.093268,33.850000
backend_test_sec,reusable,30,22.300000,22.000000,18.000000,29.000000,1.950243,24.000000
frontend_install_sec,baseline,30,2.966667,3.000000,2.000000,4.000000,0.614948,4.000000
frontend_install_sec,composite,30,2.800000,3.000000,2.000000,4.000000,0.610257,4.000000
frontend_install_sec,reusable,30,2.866667,3.000000,2.000000,4.000000,0.507416,3.550000
frontend_lint_sec,baseline,30,2.933333,3.000000,2.000000,4.000000,0.691492,4.000000
frontend_lint_sec,composite,30,2.766667,3.000000,2.000000,4.000000,0.626062,4.000000
frontend_lint_sec,reusable,30,3.333333,3.000000,2.000000,4.000000,0.546672,4.000000
frontend_test_sec,baseline,30,9.600000,10.000000,7.000000,12.000000,1.499425,11.550000
frontend_test_sec,composite,30,9.333333,9.000000,7.000000,12.000000,1.493280,11.550000
frontend_test_sec,reusable,30,10.266667,11.000000,7.000000,12.000000,1.172481,11.550000
frontend_build_sec,baseline,30,0.700000,1.000000,0.000000,1.000000,0.466092,1.000000
frontend_build_sec,composite,30,0.533333,1.000000,0.000000,1.000000,0.507416,1.000000
frontend_build_sec,reusable,30,0.666667,1.000000,0.000000,1.000000,0.479463,1.000000
