is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
true,0,1,baseline,ci-baseline.yml,34710939462,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34710939462,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:21:26Z,2026-09-12T18:21:30Z,2026-09-12T18:22:33Z,2026-09-12T18:22:39Z,4.0,63.0,73.0,63.0,35.0,98.0,102.0,2.0,27.0,3.0,5.0,9.0,1.0,success,success,success,
true,0,2,composite,ci-composite.yml,34711012012,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711012012,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:22:54Z,2026-09-12T18:22:58Z,2026-09-12T18:23:54Z,2026-09-12T18:24:02Z,4.0,56.0,68.0,56.0,32.0,88.0,93.0,3.0,23.0,3.0,3.0,12.0,0.0,success,success,success,
true,0,3,reusable,ci-reusable.yml,34711078398,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711078398,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:24:12Z,2026-09-12T18:24:16Z,2026-09-12T18:25:39Z,2026-09-12T18:25:46Z,4.0,83.0,94.0,83.0,34.0,117.0,122.0,3.0,32.0,3.0,3.0,11.0,1.0,success,success,success,
false,1,1,baseline,ci-baseline.yml,34711170502,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711170502,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:26:00Z,2026-09-12T18:26:04Z,2026-09-12T18:26:56Z,2026-09-12T18:27:03Z,4.0,52.0,63.0,52.0,34.0,86.0,90.0,3.0,24.0,4.0,4.0,9.0,1.0,success,success,success,
false,1,2,composite,ci-composite.yml,34711235576,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711235576,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:27:18Z,2026-09-12T18:27:22Z,2026-09-12T18:28:15Z,2026-09-12T18:28:24Z,4.0,53.0,66.0,53.0,31.0,84.0,90.0,3.0,22.0,2.0,2.0,7.0,0.0,success,success,success,
false,1,3,reusable,ci-reusable.yml,34711303000,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711303000,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:28:36Z,2026-09-12T18:28:40Z,2026-09-12T18:29:33Z,2026-09-12T18:29:39Z,4.0,53.0,63.0,53.0,34.0,87.0,90.0,4.0,24.0,3.0,3.0,11.0,1.0,success,success,success,
false,2,1,baseline,ci-baseline.yml,34711368671,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711368671,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:29:54Z,2026-09-12T18:29:57Z,2026-09-12T18:30:48Z,2026-09-12T18:30:56Z,3.0,51.0,62.0,51.0,33.0,84.0,89.0,3.0,22.0,3.0,3.0,10.0,1.0,success,success,success,
false,2,2,reusable,ci-reusable.yml,34711433281,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711433281,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:31:01Z,2026-09-12T18:31:04Z,2026-09-12T18:31:55Z,2026-09-12T18:32:01Z,3.0,51.0,60.0,50.0,28.0,78.0,82.0,4.0,23.0,2.0,3.0,9.0,1.0,success,success,success,
false,2,3,composite,ci-composite.yml,34711491783,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711491783,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:32:08Z,2026-09-12T18:32:11Z,2026-09-12T18:33:06Z,2026-09-12T18:33:14Z,3.0,55.0,66.0,54.0,30.0,84.0,90.0,3.0,22.0,3.0,3.0,11.0,0.0,success,success,success,
false,3,1,composite,ci-composite.yml,34711559065,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711559065,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:33:27Z,2026-09-12T18:33:30Z,2026-09-12T18:34:21Z,2026-09-12T18:34:28Z,3.0,51.0,61.0,51.0,30.0,81.0,86.0,4.0,23.0,2.0,3.0,7.0,1.0,success,success,success,
false,3,2,baseline,ci-baseline.yml,34711613198,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711613198,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:34:34Z,2026-09-12T18:34:37Z,2026-09-12T18:35:33Z,2026-09-12T18:35:39Z,3.0,56.0,65.0,56.0,31.0,87.0,91.0,4.0,22.0,3.0,2.0,8.0,1.0,success,success,success,
false,3,3,reusable,ci-reusable.yml,34711679062,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/34711679062,185a06c38179a8efaeece6a3409bdb11192c1819,success,true,2026-09-12T18:35:52Z,2026-09-12T18:35:55Z,2026-09-12T18:36:43Z,2026-09-12T18:36:50Z,3.0,48.0,58.0,48.0,35.0,83.0,88.0,4.0,22.0,3.0,3.0,8.0,1.0,success,success,success,
