metric,variant,count,mean,median,min,max,std,p95
workload_duration_sec,baseline,30,56.300000,51.500000,48.000000,96.000000,10.964362,78.150000
workload_duration_sec,composite,30,54.900000,49.000000,43.000000,107.000000,16.969242,98.350000
workload_duration_sec,reusable,30,51.900000,48.000000,40.000000,87.000000,10.649106,74.200000
end_to_end_duration_sec,baseline,30,70.900000,64.500000,60.000000,127.000000,15.257220,101.500000
end_to_end_duration_sec,composite,30,66.866667,61.000000,53.000000,117.000000,16.585688,108.450000
end_to_end_duration_sec,reusable,30,64.333333,60.500000,54.000000,99.000000,10.755378,86.850000
queue_delay_sec,baseline,30,6.100000,4.000000,3.000000,69.000000,11.902912,6.000000
queue_delay_sec,composite,30,3.933333,4.000000,3.000000,6.000000,0.739680,5.000000
queue_delay_sec,reusable,30,4.266667,4.000000,3.000000,9.000000,1.112107,5.000000
backend_job_duration_sec,baseline,30,56.100000,51.500000,47.000000,96.000000,11.012062,78.150000
backend_job_duration_sec,composite,30,54.666667,48.000000,43.000000,107.000000,16.952944,97.900000
backend_job_duration_sec,reusable,30,51.633333,48.000000,40.000000,86.000000,10.607360,74.200000
frontend_job_duration_sec,baseline,30,32.033333,31.000000,25.000000,39.000000,3.773623,37.000000
frontend_job_duration_sec,composite,30,28.500000,29.000000,23.000000,33.000000,2.979817,32.000000
frontend_job_duration_sec,reusable,30,28.066667,28.000000,21.000000,37.000000,3.590537,33.550000
workload_runner_time_sec,baseline,30,88.133333,86.500000,75.000000,126.000000,11.898227,114.250000
workload_runner_time_sec,composite,30,83.166667,77.000000,69.000000,137.000000,16.772480,123.900000
workload_runner_time_sec,reusable,30,79.700000,75.500000,61.000000,115.000000,12.031998,104.400000
total_runner_time_sec,baseline,30,93.633333,92.000000,81.000000,130.000000,11.801471,120.250000
total_runner_time_sec,composite,30,88.433333,82.500000,73.000000,141.000000,16.579346,128.450000
total_runner_time_sec,reusable,30,84.966667,82.000000,68.000000,120.000000,11.958213,109.950000
backend_install_sec,baseline,30,3.300000,3.000000,2.000000,5.000000,0.702213,4.550000
backend_install_sec,composite,30,4.666667,4.500000,3.000000,11.000000,1.538771,6.650000
backend_install_sec,reusable,30,4.166667,4.000000,3.000000,6.000000,0.791478,5.000000
backend_test_sec,baseline,30,24.466667,23.000000,20.000000,50.000000,6.190835,35.850000
backend_test_sec,composite,30,24.700000,21.000000,20.000000,59.000000,10.041809,49.700000
backend_test_sec,reusable,30,22.133333,21.000000,19.000000,36.000000,3.360350,28.650000
frontend_install_sec,baseline,30,2.866667,3.000000,2.000000,4.000000,0.571346,4.000000
frontend_install_sec,composite,30,3.966667,4.000000,3.000000,6.000000,0.668675,5.000000
frontend_install_sec,reusable,30,4.233333,4.000000,3.000000,8.000000,1.194335,6.550000
frontend_lint_sec,baseline,30,3.133333,3.000000,2.000000,5.000000,0.681445,4.000000
frontend_lint_sec,composite,30,3.266667,3.000000,2.000000,5.000000,0.784915,4.550000
frontend_lint_sec,reusable,30,3.166667,3.000000,2.000000,5.000000,0.746640,4.550000
frontend_test_sec,baseline,30,9.633333,9.000000,7.000000,12.000000,1.449931,11.550000
frontend_test_sec,composite,30,9.900000,10.000000,6.000000,12.000000,1.373392,12.000000
frontend_test_sec,reusable,30,9.266667,10.000000,6.000000,12.000000,1.337350,10.550000
frontend_build_sec,baseline,30,0.733333,1.000000,0.000000,1.000000,0.449776,1.000000
frontend_build_sec,composite,30,0.633333,1.000000,0.000000,1.000000,0.490133,1.000000
frontend_build_sec,reusable,30,0.766667,1.000000,0.000000,2.000000,0.504007,1.000000
