is_warmup,round,order_position,variant,workflow_file,run_id,run_attempt,run_url,sha,conclusion,metrics_artifact_found,created_at,workload_started_at,workload_completed_at,workflow_completed_at,queue_delay_sec,workload_duration_sec,end_to_end_duration_sec,backend_job_duration_sec,frontend_job_duration_sec,workload_runner_time_sec,total_runner_time_sec,backend_install_sec,backend_test_sec,frontend_install_sec,frontend_lint_sec,frontend_test_sec,frontend_build_sec,backend_conclusion,frontend_conclusion,metrics_conclusion,failed_step
true,0,1,baseline,ci-baseline.yml,33524047053,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524047053,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:10:00Z,2026-09-01T15:10:05Z,2026-09-01T15:11:03Z,2026-09-01T15:11:14Z,5.0,58.0,74.0,58.0,28.0,86.0,94.0,4.0,23.0,3.0,3.0,9.0,1.0,success,success,success,
true,0,2,composite,ci-composite.yml,33524205922,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524205922,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:11:30Z,2026-09-01T15:11:34Z,2026-09-01T15:12:22Z,2026-09-01T15:12:28Z,4.0,48.0,58.0,47.0,33.0,80.0,83.0,4.0,21.0,9.0,3.0,6.0,1.0,success,success,success,
true,0,3,reusable,ci-reusable.yml,33524325927,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524325927,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:12:38Z,2026-09-01T15:12:42Z,2026-09-01T15:13:27Z,2026-09-01T15:13:36Z,4.0,45.0,58.0,45.0,28.0,73.0,79.0,5.0,22.0,4.0,5.0,10.0,0.0,success,success,success,
false,1,1,baseline,ci-baseline.yml,33524435256,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524435256,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:13:46Z,2026-09-01T15:13:50Z,2026-09-01T15:14:41Z,2026-09-01T15:14:48Z,4.0,51.0,62.0,51.0,37.0,88.0,92.0,3.0,23.0,3.0,5.0,11.0,1.0,success,success,success,
false,1,2,composite,ci-composite.yml,33524558895,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524558895,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:14:55Z,2026-09-01T15:14:58Z,2026-09-01T15:15:48Z,2026-09-01T15:15:56Z,3.0,50.0,61.0,49.0,32.0,81.0,86.0,4.0,20.0,4.0,3.0,12.0,0.0,success,success,success,
false,1,3,reusable,ci-reusable.yml,33524678809,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524678809,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:16:04Z,2026-09-01T15:16:08Z,2026-09-01T15:16:56Z,2026-09-01T15:17:03Z,4.0,48.0,59.0,48.0,32.0,80.0,84.0,4.0,21.0,4.0,3.0,12.0,0.0,success,success,success,
false,2,1,composite,ci-composite.yml,33524794514,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524794514,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:17:12Z,2026-09-01T15:17:15Z,2026-09-01T15:18:00Z,2026-09-01T15:18:08Z,3.0,45.0,56.0,45.0,31.0,76.0,81.0,5.0,20.0,4.0,4.0,11.0,1.0,success,success,success,
false,2,2,reusable,ci-reusable.yml,33524906216,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33524906216,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:18:20Z,2026-09-01T15:18:25Z,2026-09-01T15:19:15Z,2026-09-01T15:19:21Z,5.0,50.0,61.0,50.0,33.0,83.0,87.0,5.0,21.0,6.0,2.0,7.0,1.0,success,success,success,
false,2,3,baseline,ci-baseline.yml,33525024539,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525024539,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:19:29Z,2026-09-01T15:19:33Z,2026-09-01T15:20:57Z,2026-09-01T15:21:05Z,4.0,84.0,96.0,84.0,37.0,121.0,127.0,4.0,39.0,3.0,4.0,11.0,1.0,success,success,success,
false,3,1,reusable,ci-reusable.yml,33525216053,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525216053,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:21:19Z,2026-09-01T15:21:23Z,2026-09-01T15:22:06Z,2026-09-01T15:22:13Z,4.0,43.0,54.0,43.0,25.0,68.0,72.0,4.0,22.0,4.0,4.0,10.0,1.0,success,success,success,
false,3,2,baseline,ci-baseline.yml,33525338568,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525338568,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:22:28Z,2026-09-01T15:22:31Z,2026-09-01T15:23:21Z,2026-09-01T15:23:31Z,3.0,50.0,63.0,50.0,25.0,75.0,81.0,3.0,23.0,2.0,3.0,8.0,1.0,success,success,success,
false,3,3,composite,ci-composite.yml,33525471452,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525471452,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:23:47Z,2026-09-01T15:23:51Z,2026-09-01T15:24:40Z,2026-09-01T15:24:46Z,4.0,49.0,59.0,49.0,32.0,81.0,84.0,4.0,21.0,4.0,3.0,10.0,0.0,success,success,success,
false,4,1,baseline,ci-baseline.yml,33525591137,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525591137,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:24:56Z,2026-09-01T15:24:59Z,2026-09-01T15:25:53Z,2026-09-01T15:26:09Z,3.0,54.0,73.0,54.0,28.0,82.0,89.0,4.0,23.0,3.0,3.0,9.0,1.0,success,success,success,
false,4,2,composite,ci-composite.yml,33525744790,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525744790,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:26:25Z,2026-09-01T15:26:29Z,2026-09-01T15:27:18Z,2026-09-01T15:27:26Z,4.0,49.0,61.0,49.0,23.0,72.0,77.0,4.0,22.0,4.0,3.0,9.0,1.0,success,success,success,
false,4,3,reusable,ci-reusable.yml,33525857747,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525857747,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:27:33Z,2026-09-01T15:27:38Z,2026-09-01T15:28:27Z,2026-09-01T15:28:35Z,5.0,49.0,62.0,49.0,30.0,79.0,84.0,4.0,20.0,4.0,5.0,9.0,1.0,success,success,success,
false,5,1,composite,ci-composite.yml,33525970709,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33525970709,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:28:42Z,2026-09-01T15:28:45Z,2026-09-01T15:29:29Z,2026-09-01T15:29:38Z,3.0,44.0,56.0,44.0,29.0,73.0,80.0,5.0,20.0,3.0,2.0,10.0,1.0,success,success,success,
false,5,2,reusable,ci-reusable.yml,33526090051,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33526090051,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:29:51Z,2026-09-01T15:29:56Z,2026-09-01T15:31:12Z,2026-09-01T15:31:21Z,5.0,76.0,90.0,76.0,32.0,108.0,114.0,4.0,36.0,4.0,4.0,10.0,0.0,success,success,success,
false,5,3,baseline,ci-baseline.yml,33526267069,1,https://github.com/jelenadoric/diplomski-task-manager/actions/runs/33526267069,a693c3be73089c158f0cb556b9358606c895662a,success,true,2026-09-01T15:31:31Z,2026-09-01T15:32:40Z,2026-09-01T15:33:31Z,2026-09-01T15:33:38Z,69.0,51.0,127.0,51.0,39.0,90.0,95.0,3.0,21.0,3.0,3.0,9.0,1.0,success,success,success,
