metric,variant,count,mean,median,min,max,std,p95
workload_duration_sec,baseline,30,56.30,51.50,48.00,96.00,10.96,78.15
workload_duration_sec,composite,30,54.90,49.00,43.00,107.00,16.97,98.35
workload_duration_sec,reusable,30,51.90,48.00,40.00,87.00,10.65,74.20
end_to_end_duration_sec,baseline,30,70.90,64.50,60.00,127.00,15.26,101.50
end_to_end_duration_sec,composite,30,66.87,61.00,53.00,117.00,16.59,108.45
end_to_end_duration_sec,reusable,30,64.33,60.50,54.00,99.00,10.76,86.85
queue_delay_sec,baseline,30,6.10,4.00,3.00,69.00,11.90,6.00
queue_delay_sec,composite,30,3.93,4.00,3.00,6.00,0.74,5.00
queue_delay_sec,reusable,30,4.27,4.00,3.00,9.00,1.11,5.00
backend_job_duration_sec,baseline,30,56.10,51.50,47.00,96.00,11.01,78.15
backend_job_duration_sec,composite,30,54.67,48.00,43.00,107.00,16.95,97.90
backend_job_duration_sec,reusable,30,51.63,48.00,40.00,86.00,10.61,74.20
frontend_job_duration_sec,baseline,30,32.03,31.00,25.00,39.00,3.77,37.00
frontend_job_duration_sec,composite,30,28.50,29.00,23.00,33.00,2.98,32.00
frontend_job_duration_sec,reusable,30,28.07,28.00,21.00,37.00,3.59,33.55
workload_runner_time_sec,baseline,30,88.13,86.50,75.00,126.00,11.90,114.25
workload_runner_time_sec,composite,30,83.17,77.00,69.00,137.00,16.77,123.90
workload_runner_time_sec,reusable,30,79.70,75.50,61.00,115.00,12.03,104.40
total_runner_time_sec,baseline,30,93.63,92.00,81.00,130.00,11.80,120.25
total_runner_time_sec,composite,30,88.43,82.50,73.00,141.00,16.58,128.45
total_runner_time_sec,reusable,30,84.97,82.00,68.00,120.00,11.96,109.95
backend_install_sec,baseline,30,3.30,3.00,2.00,5.00,0.70,4.55
backend_install_sec,composite,30,4.67,4.50,3.00,11.00,1.54,6.65
backend_install_sec,reusable,30,4.17,4.00,3.00,6.00,0.79,5.00
backend_test_sec,baseline,30,24.47,23.00,20.00,50.00,6.19,35.85
backend_test_sec,composite,30,24.70,21.00,20.00,59.00,10.04,49.70
backend_test_sec,reusable,30,22.13,21.00,19.00,36.00,3.36,28.65
frontend_install_sec,baseline,30,2.87,3.00,2.00,4.00,0.57,4.00
frontend_install_sec,composite,30,3.97,4.00,3.00,6.00,0.67,5.00
frontend_install_sec,reusable,30,4.23,4.00,3.00,8.00,1.19,6.55
frontend_lint_sec,baseline,30,3.13,3.00,2.00,5.00,0.68,4.00
frontend_lint_sec,composite,30,3.27,3.00,2.00,5.00,0.78,4.55
frontend_lint_sec,reusable,30,3.17,3.00,2.00,5.00,0.75,4.55
frontend_test_sec,baseline,30,9.63,9.00,7.00,12.00,1.45,11.55
frontend_test_sec,composite,30,9.90,10.00,6.00,12.00,1.37,12.00
frontend_test_sec,reusable,30,9.27,10.00,6.00,12.00,1.34,10.55
frontend_build_sec,baseline,30,0.73,1.00,0.00,1.00,0.45,1.00
frontend_build_sec,composite,30,0.63,1.00,0.00,1.00,0.49,1.00
frontend_build_sec,reusable,30,0.77,1.00,0.00,2.00,0.50,1.00
