round,permutation,position_1,position_2,position_3
1,BCR,baseline,composite,reusable
2,BRC,baseline,reusable,composite
3,CBR,composite,baseline,reusable
4,CRB,composite,reusable,baseline
5,RBC,reusable,baseline,composite
6,RCB,reusable,composite,baseline
7,BCR,baseline,composite,reusable
8,BRC,baseline,reusable,composite
9,CBR,composite,baseline,reusable
10,CRB,composite,reusable,baseline
11,RBC,reusable,baseline,composite
12,RCB,reusable,composite,baseline
13,BCR,baseline,composite,reusable
14,BRC,baseline,reusable,composite
15,CBR,composite,baseline,reusable
16,CRB,composite,reusable,baseline
17,RBC,reusable,baseline,composite
18,RCB,reusable,composite,baseline
19,BCR,baseline,composite,reusable
20,BRC,baseline,reusable,composite
21,CBR,composite,baseline,reusable
22,CRB,composite,reusable,baseline
23,RBC,reusable,baseline,composite
24,RCB,reusable,composite,baseline
25,BCR,baseline,composite,reusable
26,BRC,baseline,reusable,composite
27,CBR,composite,baseline,reusable
28,CRB,composite,reusable,baseline
29,RBC,reusable,baseline,composite
30,RCB,reusable,composite,baseline
