round,permutation,position_1,position_2,position_3
1,BCR,baseline,composite,reusable
2,CRB,composite,reusable,baseline
3,RBC,reusable,baseline,composite
4,BCR,baseline,composite,reusable
5,CRB,composite,reusable,baseline
6,RBC,reusable,baseline,composite
7,BCR,baseline,composite,reusable
8,CRB,composite,reusable,baseline
9,RBC,reusable,baseline,composite
10,BCR,baseline,composite,reusable
11,CRB,composite,reusable,baseline
12,RBC,reusable,baseline,composite
13,BCR,baseline,composite,reusable
14,CRB,composite,reusable,baseline
15,RBC,reusable,baseline,composite
16,BCR,baseline,composite,reusable
17,CRB,composite,reusable,baseline
18,RBC,reusable,baseline,composite
19,BCR,baseline,composite,reusable
20,CRB,composite,reusable,baseline
21,RBC,reusable,baseline,composite
22,BCR,baseline,composite,reusable
23,CRB,composite,reusable,baseline
24,RBC,reusable,baseline,composite
25,BCR,baseline,composite,reusable
26,CRB,composite,reusable,baseline
27,RBC,reusable,baseline,composite
28,BCR,baseline,composite,reusable
29,CRB,composite,reusable,baseline
30,RBC,reusable,baseline,composite
